time,TATM,TATM_1,E,NC,nonUV,ES,YGROSS,S,invNCfrac,MIU,CPC,YNET,K,scc,gama3,ratioKNC,g4,theta1,share1,climsen,prtp,share2,theta2,YGreen,elasmu,damageNC,TATM_2,E_1,NC_1,nonUV_1,ES_1,YGROSS_1,S_1,invNCfrac_1,MIU_1,CPC_1,YNET_1,K_1,scc_1,gama3_1,ratioKNC_1,g4_1,theta1_1,share1_1,climsen_1,prtp_1,share2_1,theta2_1,YGreen_1,elasmu_1,damageNC_1,TATM_3,E_2,NC_2,nonUV_2,ES_2,YGROSS_2,S_2,invNCfrac_2,MIU_2,CPC_2,YNET_2,K_2,scc_2,gama3_2,ratioKNC_2,g4_2,theta1_2,share1_2,climsen_2,prtp_2,share2_2,theta2_2,YGreen_2,elasmu_2,damageNC_2
2010,0.83,0.83,19.667585685600137,34.883720930232556,5.906244232186183,42.94752999324122,62.643043114968066,0.2537661160048702,0.001930543240797016,0.4081924661240153,6.783191970630116,62.583158249582446,135.0,53.968058587279224,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,62.27696997609989,1.45,0.07972079432345043,0.83,17.625770783784414,34.883720930232556,5.906244232186183,42.94752999324122,62.643043114968066,0.25342759024944966,0.0020324156285061764,0.4748501445640458,6.767983435437599,62.583158249582446,135.0,70.80598195635633,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,62.11550387076039,1.45,0.07972079432345043,0.83,14.532156751841448,34.883720930232556,5.906244232186183,42.94752999324122,62.643043114968066,0.25376269091199005,0.0005387272694699658,0.5758451608975254,6.738553101612023,62.583158249582446,135.0,101.38946603289081,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,61.78069968447033,1.45,0.07972079432345043
2015,0.921101963374931,0.9224151741389789,20.483946546229273,33.76535419094979,5.810796347399364,48.635122652873804,74.19735417284498,0.2518821639776836,0.0022020957772479863,0.44215612721771874,7.593399557168361,74.10974908243375,158.58252448743244,61.293572574463866,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,73.68903807656838,1.45,0.07972079432345043,0.9205042194385725,17.98819388688252,33.402306054135465,5.779472818011645,48.634096401042,74.15433185807234,0.25201422301784526,0.0023216251648986194,0.5141904561343305,7.564004695906622,74.06713995852245,158.26509309199315,80.41178592320107,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,73.42553546147205,1.45,0.07972079432345043,0.9175966166965174,14.246540278350544,32.76702963218844,5.724249263631733,48.633439068823805,74.12678794480692,0.2530567449378366,0.0006378279744995863,0.6225299394055434,7.5166611223122235,74.04017818487723,158.06210314000174,115.13223066219611,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,72.94469049252466,1.45,0.07972079432345043
2020,1.0113849880268342,1.0156239011847825,21.133741403047985,32.48941932928005,5.699949063744346,54.12607105907142,87.1501666389434,0.24990641107237938,0.0024534618852407666,0.4776057544909877,8.495441385660564,87.02542194169696,186.2418017491607,69.41727461080417,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,86.45651025739141,1.45,0.07972079432345043,1.0099466141313609,18.151497325124584,31.736439292044025,5.633510388030187,53.955491707352095,87.07500555797661,0.25017174144897514,0.00259786779271774,0.5545435140677558,8.455033122320632,86.95175798044906,185.76055116280565,91.1333164263472,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,86.08819271723063,1.45,0.07972079432345043,1.0013168175773155,13.618444720673052,30.434167431366145,5.5167170882116245,53.65583958124545,87.03166840655368,0.2517249939831045,0.0007283156095138683,0.6720121448973028,8.38894325463297,86.91057837962659,185.5709521675024,130.40842714308974,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,85.43243984304047,1.45,0.07972079432345043
2025,1.1007136788366931,1.109522891702139,21.561954921694063,31.063258734511635,5.573442269774724,59.70223086956755,101.49559520858723,0.24799137411875571,0.0027497517903835116,0.5140503685341952,9.485412747964943,101.32221170492846,217.7390545447528,78.34402423385131,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,100.56685682739885,1.45,0.07972079432345043,1.098266211563295,17.992671084391453,29.909172789666094,5.46892793787467,59.29650763362388,101.38344825985396,0.2485278743833821,0.002876408942198042,0.5971001341262343,9.430256190278744,101.21375275058489,217.09416408223626,102.90565967466296,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,100.06616188058713,1.45,0.07972079432345043,1.0810707519874445,12.62716485450618,27.945072213055827,5.286309886211347,58.581474699697104,101.3296295745856,0.25059684879845695,0.0008252884042820074,0.7226050384223652,9.34286709948613,101.16529356525152,217.02687968729808,147.1157214832765,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,99.20849028501135,1.45,0.07972079432345043
2030,1.1888330126262199,1.2038278685820465,21.656571967471447,29.50419803637667,5.431776692425479,65.30516188880783,117.21685071936376,0.246219667607131,0.0030258973770434096,0.5526142173718593,10.560412082983499,116.98112504824262,252.928409292706,88.05976739272188,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,115.98966984557421,1.45,0.07972079432345043,1.185145927637584,17.447683667116717,27.951494739074143,5.286917319107056,64.59134702989283,117.06971382593811,0.24726546237522296,0.003145435932527445,0.6417205355694385,10.485127224797727,116.84153451741129,252.1804151132273,115.68403975085438,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,115.33661083362281,1.45,0.07972079432345043,1.156505105768437,11.140790505924956,25.36748219575673,5.036614159905117,63.33422243766118,117.00961182928823,0.24969341045706878,0.0009050067570388808,0.7759712459412533,10.374489461466444,116.79243939799895,252.35628852631828,165.17487571545246,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,114.23214094191006,1.45,0.07972079432345043
2035,1.2749451777138594,1.298028035975385,21.36175210343111,27.830562208869814,5.2754679611262745,70.87854870636563,134.3007051326381,0.2448422577664491,0.003301262368302849,0.5932007267032625,11.715215103103494,133.98670163583895,291.71430410219125,98.52579653523819,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,132.70063236324927,1.45,0.07972079432345043,1.2700232815573502,16.474577939247446,25.899467822361174,5.089151974775481,69.77632620002254,134.1364198558329,0.24605510954884885,0.003415002262371295,0.688138710819356,11.623592528700367,133.83618706639055,291.0552956843743,129.55013520102577,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,131.88965813930787,1.45,0.07972079432345043,1.226940723827769,9.144942304151735,22.770276108702557,4.771821047430693,67.84540422885416,134.0586767205651,0.24888599867758576,0.0009751897275586031,0.8311732059385007,11.484013642233759,133.7786302283796,291.499861493069,184.58017443666213,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,130.47757640090873,1.45,0.07972079432345043
2040,1.358350917118534,1.3914058371318894,20.666989534217457,26.067092030643852,5.1055941897730035,76.3648778784858,152.7538443372847,0.243907864117482,0.003556855796607634,0.6351622521441969,12.949280915921076,152.34346277857819,334.17168960710455,109.76282607135319,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,150.6986482687011,1.45,0.07972079432345043,1.3521197895684895,15.0215144429631,23.79402156008539,4.87791159822371,74.79025318023054,152.55882847545004,0.2454393913041099,0.0036185380039292564,0.7364714589019195,12.835389401702146,152.17178858398864,333.5717425685983,144.37994138547117,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,149.6856713773525,1.45,0.07972079432345043,1.291429700614574,6.575041938138849,20.220996795839206,4.49677626704278,72.05559184285974,152.45352599143655,0.2477265441507991,0.001026388513324901,0.8886660524417512,12.676446962614074,152.10069472820112,334.3396209904953,205.41251638594832,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,147.89678674384945,1.45,0.07972079432345043
2045,1.4381836271164208,1.4830924743487834,19.555858842385774,24.241279441493166,4.923543382716676,81.7100563717828,172.59068846997766,0.24333523097698845,0.0038095517814670785,0.6782772659369004,14.264157465331348,172.0638931969027,380.4542787494969,121.82144735914675,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,169.98927901473178,1.45,0.07972079432345043,1.4304535072250215,12.977423589475341,21.674038203316325,4.655538443973621,79.57926449925624,172.36529402918802,0.24478947561868666,0.003843641418715538,0.7880424195335042,14.130169636797504,171.87586991417956,379.99987562070464,160.33759178823956,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,168.72254775005868,1.45,0.07972079432345043,1.3487462192542634,3.4774797200531338,17.780439095107965,4.216685795160456,75.91885537354243,172.1260173627493,0.24634825629134946,0.0010537087130111941,0.9470887907455099,13.947741254179236,171.69151209432457,380.4259782481687,227.5184665304959,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,166.42261008957465,1.45,0.07972079432345043
2050,1.5131925678788887,1.5721035453125538,17.940353034659502,22.38437569946945,4.731212920538395,86.86294510498925,193.81931493812203,0.2427092614829072,0.0040458302663063115,0.7235887919726428,15.667488005268119,193.15458170108215,430.68845067550336,134.82917921841135,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,190.5604563367283,1.45,0.07972079432345043,1.503792743641143,10.518501474765594,19.58401468002576,4.425382998117311,84.09217158613433,193.5143439378123,0.24445013253645648,0.0040018106543937915,0.8393567995786227,15.502727913718362,192.90708043892027,430.09990564226564,177.35883024349963,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,188.98261547109334,1.45,0.07972079432345043,1.3974709938028833,0.26420895782201403,15.499177427037448,3.936899468749164,79.40625086842769,193.02167484680356,0.24395666224218499,0.0010560372051792782,0.9999075952444227,15.322106305940451,192.49858085686503,429.4113355843116,251.28984173432596,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,186.1084391894142,1.45,0.07972079432345043
2055,1.582127197487437,1.657303065486607,15.8154352271138,20.527706333073358,4.530751188608061,91.778536864477,216.39834482609203,0.24226380424172841,0.004222847130882795,0.7707029993711132,17.152739947217423,215.57355015213335,484.6355471839682,148.74742432864537,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,212.36213681766122,1.45,0.07972079432345043,1.5708656419483527,7.329016583735707,17.56024147433028,4.190494180204798,88.29450885513708,216.01571736229434,0.24385025059644436,0.0041000360689285,0.8951853668134117,16.96082651804476,215.27602441247947,484.0294655372719,195.54694174642069,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,210.40073710945464,1.45,0.07972079432345043,1.436391319652725,0.20716000105935298,13.4142632001209,3.6625487300677517,82.5069687550956,215.00685804998855,0.24335905729065968,0.0010449559805420954,0.9999925736096658,16.81146940303674,214.39127606378852,480.33533466350207,276.7713687582899,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,207.77517979100853,1.45,0.07972079432345043
