time,TATM,TATM_1,E,NC,nonUV,ES,YGROSS,S,invNCfrac,MIU,CPC,YNET,K,scc,gama3,ratioKNC,g4,theta1,share1,climsen,prtp,share2,theta2,YGreen,elasmu,damageNC,TATM_2,E_1,NC_1,nonUV_1,ES_1,YGROSS_1,S_1,invNCfrac_1,MIU_1,CPC_1,YNET_1,K_1,scc_1,gama3_1,ratioKNC_1,g4_1,theta1_1,share1_1,climsen_1,prtp_1,share2_1,theta2_1,YGreen_1,elasmu_1,damageNC_1,TATM_3,E_2,NC_2,nonUV_2,ES_2,YGROSS_2,S_2,invNCfrac_2,MIU_2,CPC_2,YNET_2,K_2,scc_2,gama3_2,ratioKNC_2,g4_2,theta1_2,share1_2,climsen_2,prtp_2,share2_2,theta2_2,YGreen_2,elasmu_2,damageNC_2,TATM_4,E_3,NC_3,nonUV_3,ES_3,YGROSS_3,S_3,invNCfrac_3,MIU_3,CPC_3,YNET_3,K_3,scc_3,gama3_3,ratioKNC_3,g4_3,theta1_3,share1_3,climsen_3,prtp_3,share2_3,theta2_3,YGreen_3,elasmu_3,damageNC_3
2010,0.83,0.83,14.72200604726283,34.883720930232556,5.906244232186183,42.94752999324122,62.643043114968066,0.25530471129905735,0.0,0.5696472860191457,6.7308615554435365,62.583158249582446,135.0,102.5500092923837,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.63,61.80464951834285,1.45,0.07914976163816917,0.83,15.223889871309918,34.883720930232556,5.906244232186183,42.94752999324122,62.643043114968066,0.2547499472641979,0.0,0.5532626418832676,6.742533431133811,62.583158249582446,135.0,97.9500126165761,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.78,61.865736785714525,1.45,0.07914976163816917,0.83,14.662845273821013,34.883720930232556,5.906244232186183,42.94752999324122,62.643043114968066,0.25337174601198914,0.0,0.571578665699469,6.747523052118548,62.583158249582446,135.0,103.26686021241048,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.62,61.797236287186536,1.45,0.07914976163816917,0.83,11.38602290162751,34.883720930232556,5.906244232186183,42.94752999324122,62.643043114968066,0.25462790039268657,0.0,0.6785547543726068,6.683340183817951,62.583158249582446,135.0,125.78886750953691,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.27,61.31257153443733,1.45,0.07914976163816917
2015,0.9197159606006822,0.9177754785231063,14.221692663338843,32.703423563453526,5.71869072108761,48.63521539276603,74.2012431799851,0.2538606050482242,0.0,0.623628639247935,7.520348050612166,74.11451262464536,158.61124101109974,116.73632293608107,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.63,73.0124969639768,1.45,0.07914976163816917,0.9182480459221731,15.24025749309188,32.701318199001996,5.718506640636347,48.634912969680435,74.18856192318049,0.2525192075140393,0.0,0.5940472442770478,7.5470350394953964,74.10175686664127,158.51761591810765,111.75443323715218,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.78,73.140101735174,1.45,0.07914976163816917,0.9177197476789685,14.4082459225975,32.7036717998301,5.718712424998314,48.63325244257006,74.11896962104728,0.2521272983866095,0.0,0.6177996436115982,7.532410612645591,74.03234575286098,158.00451828399954,117.40602619399776,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.62,72.96011948172473,1.45,0.07914976163816917,0.9146243655499204,10.386990961568923,32.71744148358617,5.71991621298653,48.632509899204784,74.08787016088876,0.250695437667812,0.0,0.7343298128517866,7.474740105351409,74.00186575709516,157.7756067874509,144.0036048968645,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.27,72.2631603683848,1.45,0.07914976163816917
2020,1.007454095791495,1.0016106889331249,13.276686335196057,30.297641231774044,5.50432931716245,53.627984700672656,87.13323512429612,0.25181423065165787,0.0,0.6812571031159398,8.398174799785446,87.0119326146742,186.3333349814282,132.35378975472625,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.63,85.47435640734598,1.45,0.07914976163816917,1.0033998538661668,14.772891887529955,30.287723670969314,5.503428356122146,53.625820660373805,87.08117744288812,0.2520598466020935,0.0,0.6422430532214902,8.413333144880438,86.95951391506051,185.94946966179515,126.42514584127113,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.78,85.65675352617939,1.45,0.07914976163816917,1.0016863736929782,13.94061006013003,30.297534364943296,5.504319609628723,53.62488960217927,86.9898678756044,0.2569034643764146,0.0,0.663486226939699,8.33800965927868,86.8687466521549,185.27627707597637,131.57139865197422,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.62,85.44320499118919,1.45,0.07914976163816917,0.9924079708222686,8.568984758461239,30.351468368077995,5.509216674635152,53.62673760362386,86.78154245334869,0.2523289211431739,0.0,0.8025424508595025,8.27121336736951,86.66293939216523,183.74514113097945,161.9913846850051,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.27,84.24012751948175,1.45,0.07914976163816917
2025,1.0929962632585213,1.0811341686681042,12.362321433478122,27.732032104068313,5.266121163063789,58.507038541440664,101.40845506432989,0.25142085974342226,0.0,0.729021368107789,9.342945969104015,101.24397192032491,217.64626746899071,149.09018093763893,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.63,99.23656765652105,1.45,0.07914976163816917,1.0853263021880026,14.301140247522481,27.704725390446544,5.263527846458737,58.50180025596266,101.42269276142822,0.2523464055471461,0.0,0.6836727303621033,9.363655604035413,101.25690829391678,217.754443111804,142.5189834245878,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.78,99.57965670659351,1.45,0.07914976163816917,1.0819293794365037,13.31201505319423,27.728478872934243,5.265783785243584,58.51124120898681,101.6117164892276,0.2500415667182407,0.0,0.7073729803734913,9.394255663358402,101.44666111794237,219.15706569889662,150.67181289265093,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.62,99.5980419622956,1.45,0.07914976163816917,1.0628327074357167,6.649407801703982,27.860499333267704,5.278304588906148,58.528938544088625,101.02204427888049,0.25440869148122514,0.0,0.8622514149521452,9.15821139057454,100.86368846225744,214.7807708562032,182.02828579637128,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.27,97.66421088982875,1.45,0.07914976163816917
2030,1.1757869166458879,1.1561419829771797,10.774771004931686,25.078780863559533,5.007871889691223,63.196479735853,117.12247151736473,0.24822926552708016,0.0,0.7839815009441328,10.407388128486257,116.90522610295008,253.2686602687084,168.04769203662948,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.63,114.26769368462503,1.45,0.07914976163816917,1.1639697140123326,12.683612247139598,25.02156049482762,5.002155584828167,63.180967363455075,117.24905724408258,0.24823092426075366,0.0,0.7436098601943039,10.451434097802004,117.02862213531486,254.2246632907273,161.14002338553033,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.78,114.75154864746305,1.45,0.07914976163816917,1.158373082308732,11.558082301400765,25.066302626719228,5.006625872453346,63.195866864370274,117.21053417733906,0.2477423337784812,0.0,0.7674757297693715,10.435796772298666,116.99228550764177,253.92830799614882,169.22335940752325,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.62,114.50543910490438,1.45,0.07914976163816917,1.125460394698145,3.510488888866025,25.32183533112277,5.0320806165166685,63.27524442922118,116.83144717021678,0.24939753587679034,0.0,0.9385215228032957,10.209724678732972,116.62609077347557,251.0590178680182,206.0680596331099,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.27,112.27192545174061,1.45,0.07914976163816917
2035,1.255597986141215,1.2259071200296479,9.313845232495133,22.412778965389627,4.734213658612128,67.62068258930606,134.02596736035792,0.2489414194341675,0.0,0.8278309667675791,11.494874061379269,133.74646071923638,291.37553958610886,187.1475705690055,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.63,130.48323585152139,1.45,0.07914976163816917,1.2382813594130901,11.391382355891828,22.31351324923323,4.72371815937755,67.5788278600079,134.1777705437684,0.24648330853642278,0.0,0.7874683307477914,11.582767127959798,133.89226977109647,292.54153633210456,180.3747980091663,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.78,131.05203248896436,1.45,0.07914976163816917,1.2299711453602962,9.056360211357028,22.38582293074788,4.731365863125349,67.61193254487377,134.07927113447255,0.24813125051577842,0.0,0.8329296965087709,11.506693901295932,133.7977963257451,291.7813501595398,188.06284514868628,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.62,130.4766623859517,1.45,0.07914976163816917,1.1788344931132466,1.317515614605226,22.812658959381928,4.776259934235356,67.80203554724142,133.6217204669509,0.24773648019937147,0.0,0.9840630577276432,11.301697170101717,133.36404636262418,288.24954723992016,230.75081957013296,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.27,128.08491292267928,1.45,0.07914976163816917
2040,1.3320130503850462,1.2900325716657122,6.967638944608932,19.804177292035,4.450188455788698,71.72656655979206,152.44502846955152,0.24635768613488998,0.0,0.8815768969765576,12.719931403888802,152.0929798357705,334.4677520964064,208.8364363601137,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.63,147.98252858038146,1.45,0.07914976163816917,1.307794560075499,8.548986817896587,19.653042665675382,4.433175235164451,71.63398108495679,152.40963578858262,0.24741317458977466,0.0,0.8530132437784371,12.729406337066068,152.04790995659926,334.253544580258,199.6050194124003,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.78,148.300456321843,1.45,0.07914976163816917,1.2952706548618564,6.903897588008607,19.761642446408885,4.445406893233609,71.70091350241218,152.4038871960371,0.2497176498711631,0.0,0.8826952143934159,12.65830910704222,152.04906960503558,334.1706564604628,208.22293472303798,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.62,147.92511494730277,1.45,0.07914976163816917,1.222746755206021,0.41675005998545944,20.39872356836832,4.516494610687399,72.08185541834379,151.72964203890857,0.24638458001864286,0.0,0.9997621516675913,12.5143583375185,151.41484436317296,328.8650026202383,258.08256496802386,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.27,145.59610579396613,1.45,0.07914976163816917
2045,1.4038693665468371,1.3474369367419452,3.8932441667398643,17.31583587239661,4.161230091258667,75.46115561528731,172.00402517753,0.247399199886917,0.0,0.9400727683862858,13.94226105147904,171.57067043597866,379.78302958267204,229.9976534129994,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.63,166.41398803970975,1.45,0.07914976163816917,1.3707781919875193,5.665438740739218,17.108570481220582,4.136250775910544,75.29618758400629,172.12736805171454,0.2458332718184699,0.0,0.9103912118946021,14.0172388320174,171.67854790116698,380.83080899769357,221.38646799625934,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.78,166.96152333713968,1.45,0.07914976163816917,1.353504867392112,3.5264511401824112,17.259070067208935,4.154403695743703,75.41887313497298,172.29304047051366,0.24335199691276907,0.0,0.9463194901314304,14.032316556053226,171.85503914502465,382.0219912411493,232.79675386599962,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.62,166.59301079910182,1.45,0.07914976163816917,1.258332061317029,0.35296866172906866,18.12695078890469,4.257575693854977,76.09679976529856,171.23601427216255,0.24566283229748534,0.0,0.9994930872239216,13.835954808689765,170.8597667219351,373.5546722892057,287.6737449171619,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.27,164.7649845766465,1.45,0.07914976163816917
2050,1.4696843179983097,1.3966295698441198,0.4202236258227917,15.000020513543976,3.8729859944936513,78.80132781773516,193.0588877867684,0.24427063576494334,0.0,0.9974591351482396,15.338544236169115,192.53632279529708,430.1115185933479,254.38394778462623,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.63,186.18867396620556,1.45,0.07914976163816917,1.4258789941447958,2.823932182918904,14.737056440357685,3.838887396154996,78.52710197731362,193.03294527558927,0.24254242185798192,0.0,0.9597301727584948,15.423361315515935,192.48833626157514,430.1002721538724,245.17010978273055,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.78,186.79107898244186,1.45,0.07914976163816917,1.402972775791534,0.8944840658777025,14.932664601625936,3.864280605963539,78.72293133797557,192.8143943397631,0.24248647764608428,0.0,0.9900034815461044,15.365775677766619,192.2877396134676,428.2838748563459,255.8251556029145,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.62,186.07992052171957,1.45,0.07914976163816917,1.2873706730103964,0.35074490204667125,16.024861672922544,4.003106502820346,79.83841399026588,192.2172486774263,0.2445831773272549,0.0,0.9985431759678127,15.270216148230693,191.77518215676267,422.9634623128054,319.5811036719286,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.27,185.435955069266,1.45,0.07914976163816917
2055,1.5278994688181051,1.4360754506186713,0.34529560561577033,12.89512857729239,3.5909787770595902,81.73070342107545,215.0677855528889,0.24019829191350278,0.0,0.9979507734178291,16.907238694734843,214.4522999118746,481.37867942396997,281.7642990887876,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.63,207.87209480498706,1.45,0.07914976163816917,1.4721022167929918,0.3261482503306295,12.579386523591833,3.5467430867757863,81.31176353539392,214.91322705742184,0.24412281102199207,0.0,0.9982325230405473,16.804873005054453,214.26693752093902,480.4937130934753,267.7420618114987,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.78,207.68626192029603,1.45,0.07914976163816917,1.4430492207774714,0.3838234287671993,12.81971026936806,3.5804622982749112,81.61915394088268,214.68539061979212,0.24063799414539191,0.0,0.9973766236896797,16.867783800142327,214.06501770736736,478.50666770379917,281.7677826588458,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.62,207.5070882011272,1.45,0.07914976163816917,1.3113893154344833,0.2197794480142307,14.104937567680322,3.7556540798748124,83.30045575845968,214.5875390999138,0.24803878249119263,0.0,0.9998056117788686,16.700862811727585,214.07543786040233,476.5282702688643,350.4801529769276,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.27,207.4757008558229,1.45,0.07914976163816917
