time,TATM,TATM_1,E,NC,nonUV,ES,YGROSS,S,invNCfrac,MIU,CPC,YNET,K,scc,gama3,ratioKNC,g4,theta1,share1,climsen,prtp,share2,theta2,YGreen,elasmu,damageNC,TATM_2,E_1,NC_1,nonUV_1,ES_1,YGROSS_1,S_1,invNCfrac_1,MIU_1,CPC_1,YNET_1,K_1,scc_1,gama3_1,ratioKNC_1,g4_1,theta1_1,share1_1,climsen_1,prtp_1,share2_1,theta2_1,YGreen_1,elasmu_1,damageNC_1,TATM_3,E_2,NC_2,nonUV_2,ES_2,YGROSS_2,S_2,invNCfrac_2,MIU_2,CPC_2,YNET_2,K_2,scc_2,gama3_2,ratioKNC_2,g4_2,theta1_2,share1_2,climsen_2,prtp_2,share2_2,theta2_2,YGreen_2,elasmu_2,damageNC_2
2010,0.83,0.83,8.13805035789117,34.883720930232556,5.906244232186183,42.94752999324122,62.643043114968066,0.27758962913711654,0.0,0.78458900322146,6.410120887882932,62.583158249582446,135.0,174.85007507455552,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,60.67521785296057,1.08,0.07895113810415698,0.83,14.414700272206478,34.883720930232556,5.906244232186183,42.94752999324122,62.643043114968066,0.25110917103911035,0.0,0.5796796790231613,6.76451116220657,62.583158249582446,135.0,105.36543762881443,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,61.76564799351309,1.45,0.07895113810415698,0.83,18.26371224126551,34.883720930232556,5.906244232186183,42.94752999324122,62.643043114968066,0.23404291038825226,0.0,0.45402372366833965,6.964036806054457,62.583158249582446,135.0,66.79036580420576,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,62.170693796878744,1.82,0.07895113810415698
2015,0.9183420330009192,0.9115395621164415,7.201464265801386,32.736198609013364,5.7215556109342645,48.65211264913622,74.91311017036581,0.27399778250068707,0.0,0.8286771813404971,7.252049172898115,74.82673340854343,163.93020610808543,198.2966541422916,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,72.3605774736861,1.08,0.07895113810415698,0.9174859298715368,13.871704983384051,32.70984052800847,5.7192517454653515,48.63085219748147,74.01848708281248,0.25614650204835854,0.0,0.6328649772963633,7.474104519027793,73.93202472478588,157.2657533317228,118.23888532252853,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,72.78652544616425,1.45,0.07895113810415698,0.921101963374931,18.400968375215896,32.693749063013705,5.717844791791196,48.61499144785269,73.3577934368402,0.23557108745655655,0.0,0.49681812024596195,7.671178785153047,73.27142606157163,152.46920058539183,75.34583062093083,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,72.69494811612861,1.82,0.07895113810415698
2020,1.0031967128427985,0.983886175548994,4.918332669023911,30.411901277056803,5.51469865695822,53.67192207494858,88.41039761914857,0.27421699748853534,0.0,0.8994832069485216,8.091477926119483,88.29163463365285,195.93233624605918,221.16584198339478,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,84.89486730201033,1.08,0.07895113810415698,1.0007696913612774,13.120765493776023,30.312915797637572,5.505716647053095,53.630273988686334,87.09963840833973,0.2525963813497166,0.0,0.6851791277294111,8.383736201508322,86.97858620847916,186.0839241312931,134.84592866806366,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,85.4166985589556,1.45,0.07895113810415698,1.0113849880268342,18.555878901349278,30.25072789380456,5.500066171765987,53.590077317364496,85.65720017207944,0.23369557290737938,0.0,0.5365029618473789,8.52978903008577,85.53561379249682,175.6556781552399,85.94452413783006,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,84.76124523424413,1.82,0.07895113810415698
2025,1.0845901160537468,1.0465915806440969,3.633700633059406,27.99123495525129,5.290674338423345,58.61048080100089,103.31688955427644,0.27029153615572415,0.0,0.9346127890421241,9.091166103033489,103.15984826857004,232.09416329866002,247.8686446077465,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,99.05943064808298,1.08,0.07895113810415698,1.0797234386398082,11.769783834400345,27.75802675788596,5.26858868748415,58.51589846886228,101.42438949051794,0.2522396627677791,0.0,0.7429346865014829,9.323969251216791,101.26030954378024,217.760441174446,151.84858996151618,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,99.14344955235732,1.45,0.07895113810415698,1.1007137821360622,18.521911523196508,27.609722738416167,5.254495478960484,58.43719676981446,99.3489447905527,0.23291826606695987,0.0,0.5762015742021969,9.470410343351574,99.18191262439065,202.76456022068544,97.6481119359549,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,98.16411918864144,1.82,0.07895113810415698
2030,1.1625089161698465,1.1003278316560565,1.0964527474762347,25.54905618047887,5.054607421005005,63.41188341542103,119.44124939250109,0.26509385646795747,0.0,0.9902737085224881,10.156070508237054,119.2405774846146,270.9239108891346,275.75760334440764,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,114.06724572473405,1.08,0.07895113810415698,1.1537465082029648,10.695359984597195,25.118242453447255,5.011810297033125,63.21455713940725,117.17129303775661,0.24621954661429227,0.0,0.7857618608476551,10.438106994811234,116.95485675432397,253.62491431270328,172.28146777683494,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,114.29941264357372,1.45,0.07895113810415698,1.1888334354709411,17.78677777539951,24.838187998320727,4.983792531628973,63.06324352227476,114.47217241796781,0.23228483470613703,0.0,0.6262024619752626,10.498455920969645,114.24766536317681,234.05152732175628,110.56049014678493,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,112.87361522931964,1.82,0.07895113810415698
2035,1.236548398089482,1.1444611234206095,0.5635837584807628,23.15464560367013,4.811927431255601,68.03239016159144,136.62711503133335,0.2671892862163376,0.0,0.9988679315813801,11.238559607498086,136.3787862638361,311.1704904701645,303.33688668433746,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,130.75043911846927,1.08,0.07895113810415698,1.2226835022964233,8.492701601336913,22.466551455970986,4.739889392799265,67.64926420722037,133.90837682150428,0.247067870911337,0.0,0.843742290942424,11.497802188578714,133.6305821595081,290.47672344941134,191.19358307045334,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,130.19170536579333,1.45,0.07895113810415698,1.2749462384037884,16.914080273639847,22.013149780997885,4.691817321784586,67.37632655835895,130.99050779940958,0.23200226809172497,0.0,0.6718602689872524,11.613073648693106,130.69503900814985,269.299231649357,124.67417336969885,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,128.91740523389845,1.82,0.07895113810415698
2040,1.3057314132434872,1.1805015737563078,0.43087654623534183,20.859570520081284,4.567227881339105,72.45863589269898,155.5810815319539,0.26860457094177037,0.0,0.9995183170793452,12.455839736569791,155.28021216458774,358.41864542041003,333.6608916031075,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,149.3178468391396,1.08,0.07895113810415698,1.2854200845123538,6.279829873973753,19.87396589522287,4.458022644090412,71.77154673327259,152.1694331104104,0.24866726643323964,0.0,0.893793844645658,12.644426687171778,151.82052936508148,332.35453770485617,211.58488555050107,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,147.5563083621294,1.45,0.07895113810415698,1.3583530221818783,15.621190402490198,19.214138670942514,4.38339351084779,71.29344272082697,148.9008003321865,0.23245109426690613,0.0,0.7189209489252655,12.803109147690254,148.5195498649067,308.5641553504511,139.80332489571774,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,146.251503666006,1.82,0.07895113810415698
2045,1.3692570642379047,1.210105838700491,0.417096781511597,18.697862341211497,4.324102489674765,76.66990995627368,176.22481140147931,0.2634611855869199,0.0,0.9984568445104944,13.906964494994172,175.86671346936254,412.17990685517833,369.2601100818434,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,169.61255702253197,1.08,0.07895113810415698,1.3411198928066483,2.0692698732466157,17.402746032004746,4.171659865329956,75.5378907128428,172.001366327287,0.2426012757806878,0.0,0.9706872384021398,13.990452380545511,171.57207199815429,379.714150196295,235.94270257253484,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,165.93136367096025,1.45,0.07895113810415698,1.438187238938047,13.61050807202469,16.516908443257268,4.064099954880203,74.74393864239728,168.23492188101878,0.23327348559235517,0.0,0.77197438196673,14.070181287584289,167.75204650584132,352.1856584196055,155.98469489814278,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,164.84679396753586,1.82,0.07895113810415698
2050,1.4257891665762827,1.2347585046519824,0.2633648055477488,16.68898933002249,4.085215946559312,80.64203158332963,197.85036967565617,0.25941336611219057,0.0,0.9999227776561748,15.410058918379075,197.4317795645482,466.8197400168409,405.12264129230516,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,190.8815014991962,1.08,0.07895113810415698,1.3872865916655512,0.6495032547909745,15.107251641877816,3.886804811394292,78.90664146187737,192.466674155569,0.24593403165772193,0.0,0.9938419546145608,15.263671173355736,191.95265895153557,425.4932111424314,257.9239438148297,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,185.68852791546325,1.45,0.07895113810415698,1.513198141486945,11.22206017599787,13.988135560226073,3.740071598275369,77.6722507768153,188.98307894672965,0.23406474321238743,0.0,0.8242253314068623,15.424760219844739,188.3825933917767,400.23404052785247,173.40795950273912,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,184.74035489261448,1.82,0.07895113810415698
2055,1.4733283561463069,1.2555322429993252,0.28480769108156123,14.84184047674836,3.8525109314249013,84.36844782808596,220.56969187655613,0.25370645382762974,0.0,0.9988736680524286,17.04197283166258,220.08720042548546,523.2384524448227,443.15458980810683,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,213.32116992272955,1.08,0.07895113810415698,1.4245964876003334,0.25609417334972107,13.020918098513256,3.6084509278239127,81.89618431049534,214.85163960149504,0.24530500994404486,0.0,0.9992685375252075,16.77555041311354,214.24656286389379,479.58512776168095,284.4523968055575,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,207.64863740778048,1.45,0.07895113810415698,1.5821351177246656,8.965947979546309,11.679879883889017,3.4175839249225493,80.04284463758911,211.10065377555833,0.23257119853273386,0.0,0.8680945444706786,16.92282045565984,210.36738234408605,452.5402172358173,193.1335416378999,0.01053122614104478,3.87,0.5,0.5481250000000001,0.1,3.2,0.015,0.1,0.5750000000000001,205.99582894489268,1.82,0.07895113810415698
